Fraud,NewB,Claims
Yes,No,2
Yes,No,1.5
Yes,No,1.5
Yes,No,1.5
Yes,No,1.5
Yes,No,1.33
Yes,No,1.5
Yes,No,1.66
Yes,No,2.5
Yes,No,1.33
Yes,No,2
Yes,No,1.5
Yes,No,2
Yes,No,0.8
Yes,No,1.33
Yes,No,1.5
Yes,No,1.66
Yes,No,1.66
Yes,No,1.33
Yes,No,1.5
Yes,No,1.5
Yes,No,1
Yes,No,1.5
Yes,No,3.5
Yes,No,2
Yes,Yes,1.66
Yes,Yes,3
Yes,Yes,2
Yes,Yes,2
Yes,Yes,2.33
Yes,Yes,1
Yes,Yes,2
Yes,Yes,2
Yes,Yes,1
Yes,Yes,1.5
Yes,Yes,1.5
Yes,Yes,1.5
Yes,Yes,1.5
Yes,Yes,1
Yes,Yes,2
Yes,Yes,2
Yes,Yes,1
Yes,Yes,2
Yes,Yes,1
Yes,Yes,0.5
Yes,Yes,1.5
Yes,Yes,1.5
Yes,Yes,1.5
Yes,Yes,2
No,No,0.5
No,No,0.45
No,No,0.3
No,No,0.2
No,No,0.4
No,No,0.2
No,No,0.6
No,No,0.4
No,No,0.3
No,No,0.4
No,No,0.2
No,No,1.2
No,No,1.5
No,No,1.5
No,No,1.5
No,No,0.4
No,No,0.2
No,No,0.6
No,No,0.4
No,No,0.3
No,No,0.4
No,No,0.2
No,No,1.2
No,No,0.8
No,No,0.4
No,No,0.2
No,No,0.6
No,No,0.4
No,No,0.6
No,No,0.4
No,No,0.2
No,No,1.2
No,No,1.1
No,No,0.4
No,No,0.2
No,No,0.6
No,No,0.4
No,No,0.3
No,No,0.4
No,No,0.2
No,No,1
No,No,0.8
No,No,0.4
No,Yes,0.2
No,Yes,0.6
No,Yes,0.4
No,Yes,0.3
No,Yes,0.4
No,Yes,0.2
